p1x	p1y	p1z	p2x	p2y	p2z	p3x	p3y	p3z	mu1	mu2	mu3	mu4
-89.10335	-75.50193	-66.08145	45.23699	-0.3131175	25.09948	43.86637	75.81504	40.98196	-0.5	0.5	-0.5	0.5
-61.06514	4.831753	100.8618	28.37521	20.76326	-49.89146	32.68993	-25.59501	-50.97035	0.5	-0.5	-0.5	0.5
-47.14443	-109.6041	2.156464	61.60735	49.56058	-54.1252	-14.46292	60.04352	51.96874	-0.5	0.5	0.5	-0.5
-21.81995	84.76555	125.4808	21.47053	-43.96632	-54.67686	0.349426	-40.79924	-70.80396	0.5	-0.5	0.5	-0.5
66.21938	-17.10386	34.38704	-7.131679	-68.06339	-17.61181	-59.0877	85.16726	-16.77523	-0.5	0.5	-0.5	0.5
-3.611751	85.02857	66.04112	43.76735	-34.32171	-3.163483	-40.15559	-50.70686	-62.87763	-0.5	0.5	-0.5	0.5
-65.13736	-42.01312	1.598932	33.80661	-4.729173	-1.834351	31.33075	46.74229	0.2354197	0.5	-0.5	-0.5	0.5
45.18885	100.4174	49.71952	-86.43507	-35.91862	-25.86355	41.24623	-64.49882	-23.85597	0.5	-0.5	0.5	-0.5
-133.49	46.52768	-32.13484	86.30657	-62.30444	3.529378	47.18341	15.77676	28.60546	-0.5	0.5	0.5	-0.5
144.6332	-6.924899	5.556741	-93.84791	-29.1399	-20.05458	-50.78528	36.0648	14.49784	0.5	-0.5	0.5	-0.5
-49.23019	-21.67199	32.05875	17.88133	36.95138	-12.36064	31.34886	-15.27939	-19.69811	0.5	-0.5	0.5	-0.5
28.51226	-10.9715	-20.40186	4.290288	13.2541	65.55067	-32.80254	-2.282597	-45.14881	0.5	-0.5	0.5	-0.5
-50.14179	64.61075	88.61378	-15.89312	-43.54179	-18.79147	66.03491	-21.06896	-69.82231	0.5	-0.5	0.5	-0.5
-60.57405	-99.66157	-28.09565	-19.67965	30.57035	38.53575	80.2537	69.09122	-10.4401	0.5	-0.5	0.5	-0.5
30.98519	21.48991	-133.1768	-20.46855	5.233743	117.6336	-10.51663	-26.72365	15.54327	-0.5	0.5	0.5	-0.5
12.85349	-26.6974	-148.9526	-10.61517	11.8512	79.31047	-2.23832	14.84619	69.64213	0.5	-0.5	0.5	-0.5
105.6644	9.940328	-70.68473	-50.18602	46.7909	12.08448	-55.47834	-56.73123	58.60025	-0.5	0.5	-0.5	0.5
-25.38798	143.6061	-27.54406	-32.43912	-67.26005	18.38236	57.8271	-76.34605	9.161697	0.5	-0.5	-0.5	0.5
72.27703	140.8685	-22.32041	-34.51008	-101.1989	25.79084	-37.76695	-39.66966	-3.470428	0.5	-0.5	0.5	-0.5
71.69795	-75.98223	-53.8648	-95.40576	14.78185	3.511405	23.70781	61.20038	50.35339	-0.5	0.5	-0.5	0.5
-27.73645	38.08552	-9.050951	20.52989	-41.51372	41.144	7.206563	3.428201	-32.09305	0.5	-0.5	-0.5	0.5
-76.68481	83.00168	-107.7834	35.69617	-53.91335	89.99899	40.98864	-29.08833	17.78444	-0.5	0.5	0.5	-0.5
7.101906	-39.98486	-125.0248	-18.19856	-25.81986	41.55692	11.09665	65.80472	83.46785	0.5	-0.5	0.5	-0.5
55.94395	-93.87747	7.537599	-22.95241	47.80453	30.16563	-32.99154	46.07294	-37.70323	-0.5	0.5	-0.5	0.5
111.534	18.2088	-63.99274	-95.43586	-31.08339	32.7789	-16.09818	12.87459	31.21384	-0.5	0.5	-0.5	0.5
38.08153	-125.505	18.95916	-52.44767	84.9736	-17.89578	14.36613	40.53135	-1.06338	0.5	-0.5	-0.5	0.5
-47.45365	-38.05858	-1.612806	13.25669	21.86683	4.320479	34.19696	16.19174	-2.707673	0.5	-0.5	0.5	-0.5
9.951283	86.46485	-40.1015	-34.28855	-47.13546	18.16101	24.33726	-39.3294	21.94049	-0.5	0.5	0.5	-0.5
-38.42182	55.57077	-105.857	-28.00452	-18.49835	38.38045	66.42635	-37.07242	67.4766	0.5	-0.5	0.5	-0.5
-13.00857	59.94748	51.15482	-1.013154	-16.49071	-27.91527	14.02172	-43.45677	-23.23956	0.5	-0.5	0.5	-0.5
-17.15846	-42.25452	24.85858	-10.07894	51.5641	-12.11706	27.23739	-9.309583	-12.74152	0.5	-0.5	0.5	-0.5
-20.0079	27.5559	66.63043	30.36478	10.8173	-38.8866	-10.35688	-38.3732	-27.74383	0.5	-0.5	0.5	-0.5
-92.06904	57.3855	-115.4368	32.69162	-58.68288	58.52402	59.37742	1.297372	56.91283	0.5	-0.5	0.5	-0.5
-36.21964	-24.36565	-61.62533	-14.09373	28.93179	-44.651	50.31337	-4.566135	106.2763	-0.5	0.5	0.5	-0.5
0.5724146	118.2981	48.47325	17.91628	-80.03837	9.859419	-18.48869	-38.25977	-58.33267	0.5	-0.5	0.5	-0.5
33.45356	19.30716	139.8776	-43.6365	-9.036941	-59.54253	10.18294	-10.27022	-80.33506	-0.5	0.5	-0.5	0.5
-37.97609	10.42964	-54.72239	-8.143664	-25.25	26.83258	46.11976	14.82036	27.88981	0.5	-0.5	-0.5	0.5
39.36304	-89.56191	100.4836	5.795396	53.66996	-43.39033	-45.15844	35.89195	-57.09331	0.5	-0.5	0.5	-0.5
23.58418	35.01526	38.04803	-39.0867	7.226305	-44.52546	15.50252	-42.24156	6.477429	-0.5	0.5	-0.5	0.5
30.55629	-51.15755	-31.41299	17.941	13.51829	92.49046	-48.49729	37.63926	-61.07747	0.5	-0.5	-0.5	0.5
-45.44232	-103.1032	0.4369964	-24.89738	44.68854	9.779043	70.3397	58.41466	-10.21604	-0.5	0.5	0.5	-0.5
-50.45706	87.1731	-30.23847	66.77977	-10.06151	37.36183	-16.32271	-77.11158	-7.123359	0.5	-0.5	0.5	-0.5
39.98529	-67.89895	-112.5891	-13.56052	45.78676	75.14622	-26.42476	22.11219	37.44286	-0.5	0.5	-0.5	0.5
31.01845	-124.547	55.88066	2.87528	72.06313	-29.65725	-33.89373	52.48388	-26.2234	-0.5	0.5	-0.5	0.5
98.72128	0.6326523	4.126292	-46.20972	19.88795	-5.16519	-52.51156	-20.5206	1.038898	0.5	-0.5	-0.5	0.5
48.38696	-0.03069989	-4.603402	-72.96426	-64.51975	17.0722	24.5773	64.55045	-12.46879	0.5	-0.5	0.5	-0.5
-34.85845	-60.71439	-28.92871	34.71351	21.6141	21.87939	0.1449363	39.10028	7.049324	-0.5	0.5	0.5	-0.5
-81.31038	46.4115	-121.9169	25.46374	-35.10569	66.31624	55.84663	-11.30582	55.60068	0.5	-0.5	0.5	-0.5
10.03071	-24.5375	-48.06814	32.00525	-3.159175	42.409	-42.03595	27.69668	5.659133	0.5	-0.5	0.5	-0.5
-95.76188	-35.448	-32.69157	44.25712	79.97307	15.0757	51.50476	-44.52507	17.61587	0.5	-0.5	0.5	-0.5
-93.11842	-22.8474	-122.5162	27.66084	8.466711	26.65989	65.45758	14.38069	95.85632	0.5	-0.5	0.5	-0.5
92.20121	-28.03204	-63.7304	-11.8079	74.98799	36.27066	-80.39331	-46.95595	27.45974	0.5	-0.5	0.5	-0.5
66.71566	27.40791	30.77965	34.52805	-33.30732	-4.097789	-101.2437	5.899405	-26.68186	-0.5	0.5	0.5	-0.5
-8.273413	-61.1809	-125.2931	-8.826339	65.71315	96.12731	17.09975	-4.532255	29.16575	0.5	-0.5	0.5	-0.5
-127.0289	101.3923	26.71559	82.78869	-55.74691	-26.45256	44.24025	-45.64541	-0.2630243	-0.5	0.5	-0.5	0.5
-142.7931	16.05613	-15.46208	94.75384	-32.61654	34.69861	48.03927	16.56041	-19.23654	0.5	-0.5	-0.5	0.5
-4.874293	59.76309	63.81701	15.11724	-37.4273	-37.25714	-10.24295	-22.33578	-26.55987	0.5	-0.5	0.5	-0.5
7.792616	-38.82896	78.86038	5.286658	48.829	32.82829	-13.07927	-10.00005	-111.6887	-0.5	0.5	-0.5	0.5
116.1603	-1.05988	-18.95564	-118.1311	-26.80728	12.37053	1.970795	27.86716	6.58511	0.5	-0.5	-0.5	0.5
-74.28895	64.41777	63.21049	86.52698	-20.29732	-40.34195	-12.23802	-44.12045	-22.86854	-0.5	0.5	0.5	-0.5
36.53795	72.64351	102.0892	-36.85175	-51.84795	-28.93729	0.3138018	-20.79556	-73.15189	0.5	-0.5	0.5	-0.5
-15.48778	28.00408	55.67113	-66.32737	-18.8774	-37.6501	81.81515	-9.126671	-18.02104	-0.5	0.5	-0.5	0.5
-72.08367	51.03509	28.91917	-2.932399	-50.97745	15.38839	75.01607	-0.05764027	-44.30757	-0.5	0.5	-0.5	0.5
126.5871	43.84261	-89.46134	-56.90284	-18.79805	14.31416	-69.68422	-25.04456	75.14718	0.5	-0.5	-0.5	0.5
