nosym
-28	28	29
-6	6	7
-150	100	126
-0.00097964	-0.00564341	-0.00232427	
-0.00101953	-0.00604011	-0.00238598	
-0.00106316	-0.0064887	-0.00246374	
-0.0011055	-0.00695258	-0.00253145	
-0.00113514	-0.00746741	-0.00260443	
-0.00119498	-0.00801558	-0.00269142	
-0.00125081	-0.00863562	-0.00273741	
-0.00130068	-0.00928756	-0.00282076	
-0.00136262	-0.0100301	-0.00288366	
-0.00141356	-0.0108026	-0.00292977	
-0.00148265	-0.0116583	-0.00304282	
-0.00154773	-0.0126437	-0.00303613	
-0.00159562	-0.0136947	-0.00311678	
-0.00167649	-0.0148482	-0.00313543	
-0.00173589	-0.0161233	-0.00316509	
-0.00180676	-0.0175225	-0.0031796	
-0.00187693	-0.0190863	-0.00320233	
-0.00194181	-0.0207988	-0.00321115	
-0.00200982	-0.0227109	-0.00316724	
-0.00209055	-0.0248271	-0.00312459	
-0.00215613	-0.0271837	-0.00307106	
-0.00221837	-0.029792	-0.00300708	
-0.00227232	-0.032731	-0.00288416	
-0.00234373	-0.0360617	-0.00277771	
-0.00240573	-0.0396901	-0.00265204	
-0.00244349	-0.0437803	-0.0024397	
-0.00248138	-0.0484217	-0.00222161	
-0.00255887	-0.0535955	-0.00202953	
-0.00254921	-0.0594079	-0.0017066	
-0.0025999	-0.0660224	-0.00143119	
-0.00265693	-0.073474	-0.00111262	
-0.00267953	-0.081894	-0.000790567	
-0.00266606	-0.0914154	-0.00051023	
-0.00264949	-0.102358	1.54312e-05	
-0.00265356	-0.114639	0.000400605	
-0.00261776	-0.128853	0.000683798	
-0.00252667	-0.145037	0.00106824	
-0.00257426	-0.1637	0.00149071	
-0.0024993	-0.18499	0.00201487	
-0.00233271	-0.209819	0.00243616	
-0.00238785	-0.238372	0.0025533	
-0.00204663	-0.271652	0.00291117	
-0.00183122	-0.310374	0.00328178	
-0.00176379	-0.356054	0.00376232	
-0.00198487	-0.410594	0.00346036	
-0.00168429	-0.474889	0.00373313	
-0.00147661	-0.552689	0.00398362	
-0.00143072	-0.641333	0.0036319	
-0.000847794	-0.739603	0.00334275	
-0.000745758	-0.846757	0.00283029	
-0.000945512	-0.958641	0.0021545	
-0.000983874	-1.0693	0.00280076	
-0.000237979	-1.17141	0.00209728	
-0.000782182	-1.25276	0.00137751	
-0.00029794	-1.30863	0.00135697	
-0.000437274	-1.34268	0.000954025	
-0.000417156	-1.36149	0.000605692	
-0.000312583	-1.37063	0.000332137	
-0.000470978	-1.37332	-7.56723e-05	
-0.000520233	-1.37013	-0.00014368	
-0.000300498	-1.35989	-0.000544791	
-0.000473661	-1.33973	-0.000934477	
-0.000295735	-1.30304	-0.00138611	
-0.00102492	-1.24355	-0.00234242	
-0.000567061	-1.16058	-0.0015943	
-0.000312716	-1.06	-0.00275833	
-0.00130385	-0.949859	-0.00292842	
-0.00126073	-0.842992	-0.00337155	
-0.0017198	-0.742111	-0.00434208	
-0.000920115	-0.651057	-0.00372864	
-0.00145775	-0.568706	-0.00381784	
-0.00188798	-0.494377	-0.00388418	
-0.00216852	-0.427791	-0.00366734	
-0.001968	-0.368845	-0.00341927	
-0.00226447	-0.318688	-0.00359902	
-0.0019981	-0.278513	-0.00271568	
